Step 26: {'cpu_percent': 8.7, 'memory_percent': 0.23604614626268225, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 356, 'read_bytes': 12456408, 'write_bytes': 1382526, 'other_count': 8577, 'other_bytes': 511974}}
Step 27: {'cpu_percent': 7.1, 'memory_percent': 0.23604614626268225, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 368, 'read_bytes': 12456408, 'write_bytes': 1433715, 'other_count': 8611, 'other_bytes': 512938}}
Step 28: {'cpu_percent': 7.0, 'memory_percent': 0.23605838678053448, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 380, 'read_bytes': 12456408, 'write_bytes': 1484904, 'other_count': 8645, 'other_bytes': 513902}}
Step 29: {'cpu_percent': 22.5, 'memory_percent': 0.23605838678053448, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 392, 'read_bytes': 12456408, 'write_bytes': 1536093, 'other_count': 8679, 'other_bytes': 514868}}
Step 30: {'cpu_percent': 6.5, 'memory_percent': 0.23605838678053448, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 404, 'read_bytes': 12456408, 'write_bytes': 1587283, 'other_count': 8713, 'other_bytes': 515834}}
Step 31: {'cpu_percent': 5.2, 'memory_percent': 0.23607062729838674, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 416, 'read_bytes': 12456408, 'write_bytes': 1638472, 'other_count': 8747, 'other_bytes': 516798}}
Step 32: {'cpu_percent': 3.1, 'memory_percent': 0.23607062729838674, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 428, 'read_bytes': 12456408, 'write_bytes': 1689661, 'other_count': 8781, 'other_bytes': 517760}}
Step 33: {'cpu_percent': 4.1, 'memory_percent': 0.23607062729838674, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 440, 'read_bytes': 12456408, 'write_bytes': 1740850, 'other_count': 8815, 'other_bytes': 518724}}
Step 34: {'cpu_percent': 3.6, 'memory_percent': 0.23608286781623897, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 452, 'read_bytes': 12456408, 'write_bytes': 1792039, 'other_count': 8849, 'other_bytes': 519688}}
Step 35: {'cpu_percent': 3.8, 'memory_percent': 0.23608286781623897, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 464, 'read_bytes': 12456408, 'write_bytes': 1843228, 'other_count': 8883, 'other_bytes': 520652}}
Step 36: {'cpu_percent': 10.4, 'memory_percent': 0.23608286781623897, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 476, 'read_bytes': 12456408, 'write_bytes': 1894417, 'other_count': 8917, 'other_bytes': 521616}}
Step 37: {'cpu_percent': 3.0, 'memory_percent': 0.23608286781623897, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 488, 'read_bytes': 12456408, 'write_bytes': 1945607, 'other_count': 8951, 'other_bytes': 522580}}
Step 38: {'cpu_percent': 15.5, 'memory_percent': 0.23609510833409122, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 500, 'read_bytes': 12456408, 'write_bytes': 1996796, 'other_count': 8985, 'other_bytes': 523542}}
Step 39: {'cpu_percent': 2.8, 'memory_percent': 0.23609510833409122, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 512, 'read_bytes': 12456408, 'write_bytes': 2047986, 'other_count': 9019, 'other_bytes': 524506}}
Step 40: {'cpu_percent': 5.2, 'memory_percent': 0.23610734885194345, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 524, 'read_bytes': 12456408, 'write_bytes': 2099175, 'other_count': 9053, 'other_bytes': 525472}}
Step 41: {'cpu_percent': 4.1, 'memory_percent': 0.2361195893697957, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 536, 'read_bytes': 12456408, 'write_bytes': 2150364, 'other_count': 9087, 'other_bytes': 526438}}
Step 42: {'cpu_percent': 3.5, 'memory_percent': 0.2361195893697957, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 548, 'read_bytes': 12456408, 'write_bytes': 2201552, 'other_count': 9121, 'other_bytes': 527402}}
Step 43: {'cpu_percent': 4.5, 'memory_percent': 0.2361195893697957, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 560, 'read_bytes': 12456408, 'write_bytes': 2252740, 'other_count': 9155, 'other_bytes': 528366}}
Step 44: {'cpu_percent': 1.0, 'memory_percent': 0.23613182988764794, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 572, 'read_bytes': 12456408, 'write_bytes': 2303928, 'other_count': 9189, 'other_bytes': 529330}}
Step 45: {'cpu_percent': 13.7, 'memory_percent': 0.23613182988764794, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 584, 'read_bytes': 12456408, 'write_bytes': 2355117, 'other_count': 9223, 'other_bytes': 530294}}
Step 46: {'cpu_percent': 8.8, 'memory_percent': 0.23613182988764794, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 596, 'read_bytes': 12456408, 'write_bytes': 2406307, 'other_count': 9257, 'other_bytes': 531258}}
Step 47: {'cpu_percent': 9.4, 'memory_percent': 0.2361440704055002, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 608, 'read_bytes': 12456408, 'write_bytes': 2457496, 'other_count': 9291, 'other_bytes': 532224}}
Step 48: {'cpu_percent': 2.7, 'memory_percent': 0.2361440704055002, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 620, 'read_bytes': 12456408, 'write_bytes': 2508684, 'other_count': 9325, 'other_bytes': 533188}}
Step 49: {'cpu_percent': 7.3, 'memory_percent': 0.2361440704055002, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 632, 'read_bytes': 12456408, 'write_bytes': 2559872, 'other_count': 9359, 'other_bytes': 534150}}
Step 50: {'cpu_percent': 4.2, 'memory_percent': 0.23615631092335246, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 644, 'read_bytes': 12456408, 'write_bytes': 2611060, 'other_count': 9393, 'other_bytes': 535114}}
Step 51: {'cpu_percent': 4.5, 'memory_percent': 0.23615631092335246, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 656, 'read_bytes': 12456408, 'write_bytes': 2662249, 'other_count': 9427, 'other_bytes': 536078}}
Step 52: {'cpu_percent': 30.7, 'memory_percent': 0.23615631092335246, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 668, 'read_bytes': 12456408, 'write_bytes': 2713438, 'other_count': 9461, 'other_bytes': 537042}}
Step 53: {'cpu_percent': 4.5, 'memory_percent': 0.23615631092335246, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 680, 'read_bytes': 12456408, 'write_bytes': 2764628, 'other_count': 9495, 'other_bytes': 538006}}
Step 54: {'cpu_percent': 11.3, 'memory_percent': 0.2361685514412047, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 692, 'read_bytes': 12456408, 'write_bytes': 2815817, 'other_count': 9529, 'other_bytes': 538972}}
Step 55: {'cpu_percent': 2.7, 'memory_percent': 0.2361685514412047, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 704, 'read_bytes': 12456408, 'write_bytes': 2867006, 'other_count': 9563, 'other_bytes': 539938}}
Step 56: {'cpu_percent': 32.5, 'memory_percent': 0.2361685514412047, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 716, 'read_bytes': 12456408, 'write_bytes': 2918194, 'other_count': 9597, 'other_bytes': 540900}}
Step 57: {'cpu_percent': 3.9, 'memory_percent': 0.23618079195905695, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 728, 'read_bytes': 12456408, 'write_bytes': 2969383, 'other_count': 9631, 'other_bytes': 541866}}
Step 58: {'cpu_percent': 14.6, 'memory_percent': 0.23618079195905695, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 740, 'read_bytes': 12456408, 'write_bytes': 3020572, 'other_count': 9665, 'other_bytes': 542832}}
Step 59: {'cpu_percent': 11.3, 'memory_percent': 0.23618079195905695, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 752, 'read_bytes': 12456408, 'write_bytes': 3071762, 'other_count': 9699, 'other_bytes': 543796}}
Step 60: {'cpu_percent': 13.7, 'memory_percent': 0.23619303247690918, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 764, 'read_bytes': 12456408, 'write_bytes': 3122952, 'other_count': 9733, 'other_bytes': 544760}}
Step 61: {'cpu_percent': 15.0, 'memory_percent': 0.23619303247690918, 'num_threads': 22, 'io_counters': {'read_count': 875, 'write_count': 776, 'read_bytes': 12456408, 'write_bytes': 3174142, 'other_count': 9767, 'other_bytes': 545726}}
